# Based on the WLTC drive cycle,
# see #1264 for discussion and how to use this drive cycle,
# time [s],Power [W]
36.6,-1.331982185
36.7,-1.32818833
36.8,-1.324386212
36.9,-1.320575859
37,-1.316757296
37.1,-2.849047851
37.2,-2.831708337
37.3,-2.814340662
37.4,-2.796944998
37.5,-2.779521521
37.6,-2.762070404
37.7,-2.744591822
37.8,-2.727085949
37.9,-2.709552959
38,-2.691993026
38.1,-2.784351909
38.2,-2.765298541
38.3,-2.746216844
38.4,-2.727107013
38.5,-2.707969241
38.6,-2.688803721
38.7,-2.669610648
38.8,-2.650390214
38.9,-2.631142614
39,-2.611868039
39.1,-2.082805436
39.2,-2.070165458
39.3,-2.057507359
39.4,-2.044831247
39.5,-2.032137232
39.6,-2.019425423
39.7,-2.006695932
39.8,-1.993948866
39.9,-1.981184337
40,-1.968402453
40.1,-1.860190627
40.2,-1.848551459
40.3,-1.836896646
40.4,-1.825226285
40.5,-1.813540473
40.6,-1.801839306
40.7,-1.79012288
40.8,-1.778391292
40.9,-1.766644639
41,-1.754883017
41.1,-2.630447327
41.2,-2.604303484
41.3,-2.578129596
41.4,-2.551925946
41.5,-2.52569282
41.6,-2.499430504
41.7,-2.473139283
41.8,-2.446819441
41.9,-2.420471264
42,-2.394095037
42.1,-2.842088644
42.2,-2.804310378
42.3,-2.766494274
42.4,-2.728640802
42.5,-2.690750435
42.6,-2.652823641
42.7,-2.614860891
42.8,-2.576862657
42.9,-2.538829409
43,-2.500761617
43.1,-1.77984362
43.2,-1.759591599
43.3,-1.739321126
43.4,-1.719032394
43.5,-1.698725596
43.6,-1.678400925
43.7,-1.658058576
43.8,-1.637698742
43.9,-1.617321615
44,-1.596927391
44.1,-0.602019676
44.2,-0.598675029
44.3,-0.59532702
44.4,-0.591975666
44.5,-0.588620984
44.6,-0.585262993
44.7,-0.58190171
44.8,-0.578537151
44.9,-0.575169335
45,-0.571798279
45.1,-0.104866615
45.2,-0.104685349
45.3,-0.104503609
45.4,-0.104321394
45.5,-0.104138707
45.6,-0.103955548
45.7,-0.103771918
45.8,-0.103587818
45.9,-0.103403249
46,-0.103218213
46.1,-0.329671298
46.2,-0.328330584
46.3,-0.32698837
46.4,-0.32564466
46.5,-0.324299461
46.6,-0.322952778
46.7,-0.321604617
46.8,-0.320254985
46.9,-0.318903886
47,-0.317551327
47.1,-0.424153394
47.2,-0.421881983
47.3,-0.41960842
47.4,-0.417332716
47.5,-0.415054881
47.6,-0.412774926
47.7,-0.410492861
47.8,-0.408208697
47.9,-0.405922445
48,-0.403634114
48.1,-0.146397891
48.2,-0.145985697
48.3,-0.145572891
48.4,-0.145159476
48.5,-0.144745452
48.6,-0.144330821
48.7,-0.143915586
48.8,-0.143499748
48.9,-0.143083308
49,-0.142666269
49.1,0.217742576
49.2,0.217742576
49.3,0.217742576
49.4,0.217742576
49.5,0.217742576
49.6,0.217742576
49.7,0.217742576
49.8,0.217742576
49.9,0.217742576
50,0.217742576
50.1,-0.043231266
50.2,-0.043175968
50.3,-0.043120405
50.4,-0.043064578
50.5,-0.043008487
50.6,-0.042952133
50.7,-0.042895517
50.8,-0.042838638
50.9,-0.042781497
51,-0.042724096
51.1,-0.667761495
51.2,-0.661340591
51.3,-0.654915057
51.4,-0.648484932
51.5,-0.642050253
51.6,-0.635611061
51.7,-0.629167395
51.8,-0.622719292
51.9,-0.616266793
52,-0.609809937
52.1,-0.987843278
52.2,-0.971417503
52.3,-0.954981906
52.4,-0.938536625
52.5,-0.9220818
52.6,-0.90561757
52.7,-0.889144074
52.8,-0.872661453
52.9,-0.856169846
53,-0.839669391
53.1,-0.252673717
53.2,-0.250790298
53.3,-0.248905606
53.4,-0.24701965
53.5,-0.245132438
53.6,-0.243243977
53.7,-0.241354276
53.8,-0.239463342
53.9,-0.237571183
54,-0.235677808
54.1,0.095602489
54.2,0.095515902
54.3,0.095429332
54.4,0.095342779
54.5,0.095256243
54.6,0.095169723
54.7,0.095083221
54.8,0.094996735
54.9,0.094910266
55,0.094823814
55.1,0.141739351
55.2,0.141739351
55.3,0.141739351
55.4,0.141739351
55.5,0.141739351
55.6,0.141739351
55.7,0.141739351
55.8,0.141739351
55.9,0.141739351
56,0.141739351
56.1,0.141739351
56.2,0.141739351
56.3,0.141739351
56.4,0.141739351
56.5,0.141739351
56.6,0.141739351
56.7,0.141739351
56.8,0.141739351
56.9,0.141739351
57,0.141739351
57.1,0.283214525
57.2,0.283943239
57.3,0.284672104
57.4,0.285401122
57.5,0.286130293
57.6,0.286859616
57.7,0.287589093
57.8,0.288318723
57.9,0.289048507
58,0.289778444
58.1,0.290508537
58.2,0.291238783
58.3,0.291969185
58.4,0.292699742
58.5,0.293430455
58.6,0.294161323
58.7,0.294892348
58.8,0.295623529
58.9,0.296354867
59,0.297086362
59.1,1.203693297
59.2,1.223604392
59.3,1.243523403
59.4,1.263450434
59.5,1.283385587
59.6,1.303328964
59.7,1.32328067
59.8,1.343240807
59.9,1.363209478
60,1.383186785
60.1,0.523304526
60.2,0.52549598
60.3,0.527688151
60.4,0.529881043
60.5,0.532074659
60.6,0.534268999
60.7,0.536464068
60.8,0.538659867
60.9,0.540856398
61,0.543053665
61.1,0.545251669
61.2,0.547450413
61.3,0.549649899
61.4,0.551850129
61.5,0.554051107
61.6,0.556252834
61.7,0.558455313
61.8,0.560658546
61.9,0.562862536
62,0.565067285
62.1,0.379328818
62.2,0.380079802
62.3,0.380830977
62.4,0.381582343
62.5,0.382333901
62.6,0.38308565
62.7,0.383837592
62.8,0.384589726
62.9,0.385342053
63,0.386094573
63.1,0.770480346
63.2,0.774852015
63.3,0.77922544
63.4,0.78360063
63.5,0.787977593
63.6,0.792356336
63.7,0.796736869
63.8,0.801119198
63.9,0.805503332
64,0.809889279
64.1,0.679045201
64.2,0.68191151
64.3,0.684778928
64.4,0.68764746
64.5,0.690517108
64.6,0.693387877
64.7,0.696259771
64.8,0.699132793
64.9,0.702006947
65,0.704882237
65.1,0.427280177
65.2,0.428043847
65.3,0.428807728
65.4,0.429571818
65.5,0.430336119
65.6,0.431100631
65.7,0.431865354
65.8,0.432630289
65.9,0.433395435
66,0.434160794
66.1,0.434926364
66.2,0.435692148
66.3,0.436458144
66.4,0.437224354
66.5,0.437990777
66.6,0.438757414
66.7,0.439524265
66.8,0.440291331
66.9,0.441058611
67,0.441826107
67.1,1.609571708
67.2,1.62633151
67.3,1.643100104
67.4,1.659877564
67.5,1.676663967
67.6,1.69345939
67.7,1.710263909
67.8,1.727077599
67.9,1.743900538
68,1.7607328
68.1,2.591434725
68.2,2.628504315
68.3,2.665596347
68.4,2.702711093
68.5,2.739848821
68.6,2.777009805
68.7,2.814194314
68.8,2.851402621
68.9,2.888634995
69,2.925891708
69.1,3.336291425
69.2,3.383909921
69.3,3.431561082
69.4,3.479245308
69.5,3.526962998
69.6,3.574714552
69.7,3.622500369
69.8,3.670320847
69.9,3.718176387
70,3.766067388
70.1,3.813994249
70.2,3.861957369
70.3,3.909957148
70.4,3.957993985
70.5,4.006068279
70.6,4.054180429
70.7,4.102330836
70.8,4.150519898
70.9,4.198748014
71,4.247015585
71.1,3.699993057
71.2,3.735534053
71.3,3.771104227
71.4,3.806703825
71.5,3.842333089
71.6,3.877992265
71.7,3.913681596
71.8,3.949401325
71.9,3.985151697
72,4.020932956
72.1,2.762375525
72.2,2.778369785
72.3,2.794377041
72.4,2.810397356
72.5,2.826430795
72.6,2.842477424
72.7,2.858537306
72.8,2.874610508
72.9,2.890697093
73,2.906797126
73.1,1.972193823
73.2,1.979034028
73.3,1.985879309
73.4,1.992729682
73.5,1.99958516
73.6,2.006445759
73.7,2.013311493
73.8,2.020182377
73.9,2.027058426
74,2.033939655
74.1,1.761286286
74.2,1.766219997
74.3,1.771157202
74.4,1.776097909
74.5,1.781042125
74.6,1.78598986
74.7,1.79094112
74.8,1.795895914
74.9,1.80085425
75,1.805816137
75.1,1.954034943
75.2,1.959947691
75.3,1.965864854
75.4,1.971786443
75.5,1.97771247
75.6,1.983642945
75.7,1.98957788
75.8,1.995517286
75.9,2.001461173
76,2.007409553
76.1,2.160608125
76.2,2.16759207
76.3,2.174581494
76.4,2.181576413
76.5,2.188576841
76.6,2.195582793
76.7,2.202594283
76.8,2.209611327
76.9,2.216633939
77,2.223662135
77.1,1.776276708
77.2,1.780456293
